fName,lName,country,poll,selectionName,selectionYear,selectionDirector,newName,rating,runtime,genre,language,country
Yoshio,Yasui,Japan,critics,Red Peony Gambler: Oryu's Return,1970,Tai Kat,Hibotan bakuto: oryu sanjo,N/A,100,Drama,Japanese,Japan
Yoshio,Yasui,Japan,critics,Summer In Narita,1968,Ogawa Shinsuke,Nihon Kaiho sensen: Sanrizuka no natsu,N/A,108,Documentary,N/A,Japan
Yoshio,Yasui,Japan,critics,Tatooed Life,1965,Suzuki Seijun,Tattooed Life,N/A,87,"Crime,Drama",Japanese,Japan
Yevgeny,Margolit,Russia,critics,81/2,1963,Federico Fellini,8 1/2,N/A,UNKNOWN,Crime,N/A,N/A
Yevgeny,Margolit,Russia,critics,L'Atalante,1934,Jean Vigo,L'Atalante,NOT RATED,89,"Drama,Romance","French,Russian",France
Yevgeny,Margolit,Russia,critics,Battleship Potemkin,1925,Sergei M Eisenstein,Battleship Potemkin,UNRATED,66,"History,War",Russian,Soviet Union
Yevgeny,Margolit,Russia,critics,City Lights,1931,Charles Chaplin,City Lights,PASSED,87,"Comedy,Drama,Romance",English,USA
Yevgeny,Margolit,Russia,critics,Intolerance,1916,D.W. Griffith,Intolerance,N/A,11,"Animation,Comedy,Sci-Fi",English,UK
Yevgeny,Margolit,Russia,critics,M,1931,Fritz Lang,M,NOT RATED,99,"Crime,Drama,Thriller",German,Germany
Yevgeny,Margolit,Russia,critics,One Flew Over the Cuckoo's Nest,1975,Milos Forman,One Flew Over the Cuckoo's Nest,R,133,Drama,English,USA
Yevgeny,Margolit,Russia,critics,Rashomon,1950,Akira Kurosawa,Rashomon,UNRATED,88,"Crime,Drama,Mystery",Japanese,Japan
Yevgeny,Margolit,Russia,critics,Shadows of Our Forgotten Ancestors,1964,Sergei Parajanov,Shadows of Forgotten Ancestors,N/A,97,"Drama,Music,Romance",Ukrainian,Soviet Union
Yevgeny,Margolit,Russia,critics,Sir Arne's Treasure,1919,Mauritz Stiller,Sir Arne's Treasure,N/A,88,Drama,Swedish,Sweden
Xiaoning,Lu,China/UK,critics,Atonement,2007,Joe Wright,Atonement,R,123,"Drama,Mystery,Romance","English,French","UK,France,USA"
Xiaoning,Lu,China/UK,critics,"Bicycle Thieves, The",1948,Vittorio de Sica,Bicycle Thieves,NOT RATED,93,Drama,Italian,Italy
Xiaoning,Lu,China/UK,critics,Black Swan,2010,Darren Aronofsky,Black Swan,R,108,"Drama,Mystery,Thriller","English,French,Italian",USA
Xiaoning,Lu,China/UK,critics,Citizen Kane,1941,Orson Welles,Citizen Kane,APPROVED,119,"Drama,Mystery",English,USA
Xiaoning,Lu,China/UK,critics,Farewell My Concubine,1993,Chen Kaige,Farewell My Concubine,R,171,"Drama,Music,Romance",Mandarin,"China,Hong Kong"
Xiaoning,Lu,China/UK,critics,"Great Dictator, The",1940,Charles Chaplin,The Great Dictator,APPROVED,125,"Comedy,Drama,War","English,Esperanto",USA
Xiaoning,Lu,China/UK,critics,Seven Samurai,1954,Akira Kurosawa,Seven Samurai,UNRATED,207,Drama,Japanese,Japan
Xiaoning,Lu,China/UK,critics,"Seventh Seal, The",1957,Ingmar Bergman,The Seventh Seal,NOT RATED,96,"Drama,Fantasy","Swedish,Latin",Sweden
Xiaoning,Lu,China/UK,critics,Spring in a Small Town,1948,Fei Mu,Spring in a Small Town,N/A,98,"Drama,Romance",Mandarin,China
Xiaoning,Lu,China/UK,critics,Tokyo Story,1953,Ozu Yasujiro,Tokyo Story,NOT RATED,136,Drama,"Japanese,English",Japan
Xavier,Perez,Spain,critics,81/2,1963,Federico Fellini,8 1/2,N/A,UNKNOWN,Crime,N/A,N/A
Xavier,Perez,Spain,critics,Breathless,1960,Jean-Luc Godard,Breathless,UNRATED,90,"Crime,Drama,Romance","French,English",France
Xavier,Perez,Spain,critics,"Incredible Shrinking Man, The",1957,Jack Arnold,The Incredible Shrinking Man,PASSED,81,"Drama,Sci-Fi,Thriller",English,USA
Xavier,Perez,Spain,critics,Kill Bill,2003,Quentin Tarantino,Kill Bill,R,111,Action,"English,Japanese,French",USA
Xavier,Perez,Spain,critics,King Kong,1933,Merian C. Cooper/Ernest B. Schoedsack,King Kong,PG-13,187,"Action,Adventure,Drama",English,"New Zealand,USA,Germany"
Xavier,Perez,Spain,critics,North by Northwest,1959,Alfred Hitchcock,North by Northwest,APPROVED,136,"Adventure,Mystery,Thriller",English,USA
Xavier,Perez,Spain,critics,Raiders of the Lost Ark,1981,Steven Spielberg,Raiders of the Lost Ark,PG,115,"Action,Adventure","English,German,Hebrew,Spanish,Arabic,Nepali",USA
Xavier,Perez,Spain,critics,Rome Open City,1945,Roberto Rossellini,"Rome, Open City",APPROVED,103,"Drama,War","Italian,German,Latin",Italy
Xavier,Perez,Spain,critics,"Searchers, The",1956,John Ford,The Searchers,APPROVED,119,"Adventure,Drama,Western","English,Navajo,Spanish",USA
Xavier,Perez,Spain,critics,Sherlock Jr,1924,Buster Keaton,Sherlock Jr,UNRATED,45,"Comedy,Family,Fantasy",N/A,USA
Xan,Brooks,UK,critics,Apocalypse Now,1979,Francis Ford Coppola,Apocalypse Now,R,153,"Drama,War","English,French,Vietnamese,Khmer",USA
Xan,Brooks,UK,critics,"Canterbury Tale, A",1944,Michael Powell/Emeric Pressburger,A Canterbury Tale,NOT RATED,95,"Comedy,Drama,Mystery",English,UK
Xan,Brooks,UK,critics,Chinatown,1974,Roman Polanski,Chinatown,R,130,"Drama,Mystery,Thriller","English,Cantonese,Spanish",USA
Xan,Brooks,UK,critics,Fanny and Alexander,1984,Ingmar Bergman,Fanny and Alexander,R,188,Drama,"Swedish,German,Yiddish,English","Sweden,France,West Germany"
Xan,Brooks,UK,critics,Mouchette,1966,Robert Bresson,Mouchette,NOT RATED,78,Drama,French,France
Xan,Brooks,UK,critics,Psycho,1960,Alfred Hitchcock,Psycho,R,109,"Horror,Mystery,Thriller",English,USA
Xan,Brooks,UK,critics,Some Like It Hot,1959,Billy Wilder,Some Like It Hot,NOT RATED,120,Comedy,English,USA
Xan,Brooks,UK,critics,Taxi Driver,1976,Martin Scorsese,Taxi Driver,R,113,"Crime,Drama","English,Spanish",USA
Xan,Brooks,UK,critics,"Third Man, The",1949,Carol Reed,The Third Man,NOT RATED,93,"Film-Noir,Mystery,Thriller","English,German,Russian",UK
Xan,Brooks,UK,critics,Wise Blood,1979,John Huston,Wise Blood,PG,106,"Comedy,Drama",English,USA
William,Fowler,UK,critics,Bang!,1967,Bob Godfrey,Bang!,N/A,8,Short,N/A,USA
William,Fowler,UK,critics,Chelsea Girls,1966,Andy Warhol/Paul Morrissey,Chelsea Girls,N/A,210,Drama,"English,Portuguese",USA
William,Fowler,UK,critics,Dawn of the Dead,1978,George A Romero,Dawn of the Dead,R,101,"Action,Horror,Sci-Fi",English,"USA,Canada,Japan,France"
William,Fowler,UK,critics,Great Ecstasy of Woodcarver Steiner,1975,Werner Herzog,Great Ecstasy of Woodcarver Steiner,N/A,45,"Documentary,Biography,Sport",German,West Germany
William,Fowler,UK,critics,Island of Lost Souls,1932,Erle C Kenton,Island of Lost Souls,UNRATED,70,"Adventure,Horror,Romance",English,USA
